winner,best_of,w_one,w_two,w_three,w_four,w_five,winner_id
Kohlschreiber P.,3,6.0,6.0,,,,306
Norrie C.,3,7.0,6.0,,,,440
Carreno Busta P.,3,1.0,,,,,83
Struff J.L.,3,6.0,6.0,,,,576
Sandgren T.,3,6.0,7.0,,,,524
Kohlschreiber P.,3,6.0,6.0,,,,306
Norrie C.,3,7.0,6.0,,,,440
Struff J.L.,3,7.0,6.0,7.0,,,576
Sandgren T.,3,6.0,6.0,,,,524
Norrie C.,3,7.0,4.0,6.0,,,440
Sandgren T.,3,6.0,6.0,,,,524
Klizan M.,3,7.0,4.0,7.0,,,302
Thompson J.,3,6.0,6.0,,,,587
Querrey S.,3,6.0,4.0,,,,479
Opelka R.,3,6.0,6.0,,,,450
De Minaur A.,3,6.0,6.0,,,,125
Andreozzi G.,3,3.0,6.0,6.0,,,15
Nishioka Y.,3,6.0,6.0,,,,438
Seppi A.,3,7.0,2.0,6.0,,,538
Garcia-Lopez G.,3,7.0,6.0,,,,198
Rublev A.,3,6.0,6.0,,,,512
Millman J.,3,4.0,7.0,7.0,,,401
Fucsovics M.,3,3.0,6.0,6.0,,,191
Thompson J.,3,3.0,7.0,6.0,,,587
Nishioka Y.,3,6.0,6.0,,,,438
De Minaur A.,3,6.0,7.0,,,,125
Schwartzman D.,3,6.0,6.0,,,,536
Seppi A.,3,7.0,6.0,,,,538
Tsitsipas S.,3,6.0,6.0,,,,597
Millman J.,3,6.0,6.0,,,,401
Simon G.,3,7.0,6.0,6.0,,,548
Seppi A.,3,4.0,6.0,6.0,,,538
Schwartzman D.,3,6.0,3.0,7.0,,,536
De Minaur A.,3,7.0,6.0,,,,125
Simon G.,3,7.0,3.0,7.0,,,548
Seppi A.,3,7.0,6.0,,,,538
De Minaur A.,3,6.0,6.0,,,,125
De Minaur A.,3,7.0,7.0,,,,125
Anderson K.,5,6.0,5.0,6.0,6.0,,12
Basilashvili N.,5,6.0,4.0,7.0,6.0,,36
Albot R.,5,3.0,6.0,6.0,6.0,,4
Travaglia S.,5,6.0,6.0,6.0,6.0,,592
Verdasco F.,5,7.0,6.0,6.0,,,619
Cuevas P.,5,6.0,7.0,6.0,,,111
Haase R.,5,7.0,6.0,7.0,,,238
Tsitsipas S.,5,6.0,6.0,6.0,7.0,,597
Dimitrov G.,5,4.0,6.0,6.0,6.0,,145
Tiafoe F.,5,7.0,6.0,6.0,,,588
Nadal R.,5,6.0,6.0,7.0,,,427
Fabbiano T.,5,6.0,7.0,2.0,6.0,,177
Opelka R.,5,7.0,7.0,6.0,7.0,,450
Schwartzman D.,5,6.0,6.0,4.0,6.0,,536
Evans D.,5,7.0,6.0,7.0,,,176
Kudla D.,5,5.0,1.0,6.0,6.0,6.0,325
Khachanov K.,5,3.0,6.0,6.0,6.0,,291
De Minaur A.,5,6.0,7.0,6.0,,,125
Troicki V.,5,6.0,1.0,2.0,6.0,6.0,594
Mcdonald M.,5,6.0,6.0,2.0,6.0,,389
Laaksonen H.,5,6.0,7.0,4.0,6.0,,337
Berdych T.,5,6.0,6.0,7.0,,,49
Thompson J.,5,6.0,7.0,6.0,,,587
Ebden M.,5,1.0,6.0,6.0,6.0,,162
Seppi A.,5,6.0,4.0,6.0,6.0,,538
Monfils G.,5,6.0,6.0,6.0,,,411
Nishioka Y.,5,6.0,7.0,4.0,6.0,,438
Millman J.,5,6.0,3.0,7.0,6.0,,401
Fritz T.,5,6.0,7.0,6.0,,,190
Bautista Agut R.,5,6.0,6.0,6.0,6.0,6.0,38
Cilic M.,5,6.0,6.0,7.0,,,97
Federer R.,5,6.0,6.0,6.0,,,180
Fognini F.,5,7.0,7.0,3.0,,,187
Ivashka I.,5,4.0,7.0,6.0,4.0,,268
Mayer L.,5,7.0,7.0,4.0,6.0,,387
Nishikori K.,5,3.0,6.0,6.0,6.0,3.0,437
Herbert P.H.,5,5.0,7.0,6.0,6.0,,251
Fucsovics M.,5,6.0,6.0,6.0,6.0,,191
Harrison R.,5,6.0,7.0,6.0,,,247
Medvedev D.,5,6.0,6.0,6.0,,,391
Karlovic I.,5,6.0,7.0,7.0,7.0,,287
Coric B.,5,6.0,6.0,6.0,,,106
Chung H.,5,6.0,6.0,6.0,6.0,6.0,96
Bolt A.,5,4.0,6.0,6.0,6.0,,62
Sousa J.,5,7.0,4.0,7.0,4.0,6.0,563
Carreno Busta P.,5,6.0,2.0,6.0,7.0,6.0,83
Donskoy E.,5,6.0,6.0,6.0,7.0,,154
Simon G.,5,7.0,6.0,6.0,,,548
Zverev A.,5,6.0,6.0,6.0,,,660
Goffin D.,5,6.0,6.0,6.0,,,213
Shapovalov D.,5,6.0,6.0,7.0,,,543
Daniel T.,5,5.0,4.0,,,,115
Pouille L.,5,6.0,7.0,6.0,,,474
Copil M.,5,6.0,6.0,6.0,,,103
Kohlschreiber P.,5,6.0,6.0,6.0,,,306
Tsonga J.W.,5,6.0,6.0,7.0,,,598
Chardy J.,5,3.0,7.0,6.0,6.0,7.0,93
Krajinovic F.,5,4.0,0.0,6.0,7.0,6.0,318
Popyrin A.,5,7.0,7.0,6.0,,,471
Wawrinka S.,5,3.0,3.0,,,,632
Marterer M.,5,6.0,6.0,6.0,,,377
Djokovic N.,5,6.0,6.0,6.0,,,147
Raonic M.,5,6.0,7.0,6.0,,,488
Thiem D.,5,6.0,6.0,5.0,1.0,6.0,586
Schwartzman D.,5,6.0,7.0,3.0,6.0,6.0,536
Basilashvili N.,5,3.0,6.0,3.0,6.0,6.0,36
Tsitsipas S.,5,6.0,2.0,6.0,7.0,,597
Seppi A.,5,6.0,6.0,6.0,,,538
Berdych T.,5,6.0,6.0,6.0,,,49
Cilic M.,5,7.0,6.0,6.0,6.0,,97
Tiafoe F.,5,4.0,6.0,6.0,7.0,,588
Verdasco F.,5,6.0,7.0,6.0,,,619
Federer R.,5,7.0,7.0,6.0,,,180
Fritz T.,5,6.0,6.0,7.0,7.0,,190
Khachanov K.,5,6.0,6.0,6.0,,,291
Fabbiano T.,5,6.0,6.0,6.0,3.0,7.0,177
Bautista Agut R.,5,6.0,6.0,3.0,6.0,6.0,38
Dimitrov G.,5,6.0,6.0,6.0,7.0,,145
De Minaur A.,5,6.0,6.0,6.0,4.0,6.0,125
Nadal R.,5,6.0,6.0,6.0,,,427
Nishikori K.,5,6.0,7.0,5.0,5.0,7.0,437
Raonic M.,5,6.0,7.0,7.0,7.0,,488
Sousa J.,5,7.0,4.0,7.0,5.0,6.0,563
Carreno Busta P.,5,6.0,6.0,7.0,,,83
Coric B.,5,6.0,6.0,6.0,,,106
Fognini F.,5,7.0,6.0,7.0,,,187
Herbert P.H.,5,6.0,1.0,6.0,6.0,,251
Krajinovic F.,5,6.0,7.0,7.0,,,318
Goffin D.,5,5.0,7.0,6.0,6.0,,213
Bolt A.,5,2.0,6.0,4.0,7.0,6.0,62
Pouille L.,5,7.0,7.0,5.0,6.0,,474
Shapovalov D.,5,6.0,7.0,6.0,,,543
Popyrin A.,5,7.0,6.0,2.0,,,471
Medvedev D.,5,6.0,6.0,6.0,,,391
Zverev A.,5,7.0,6.0,5.0,6.0,6.0,660
Djokovic N.,5,6.0,7.0,6.0,,,147
Tsitsipas S.,5,6.0,3.0,7.0,6.0,,597
Berdych T.,5,5.0,6.0,7.0,6.0,,49
Federer R.,5,6.0,7.0,6.0,,,180
Tiafoe F.,5,6.0,6.0,4.0,6.0,6.0,588
Dimitrov G.,5,7.0,6.0,6.0,,,145
Bautista Agut R.,5,6.0,7.0,6.0,,,38
Nadal R.,5,6.0,6.0,6.0,,,427
Cilic M.,5,4.0,3.0,6.0,7.0,6.0,97
Medvedev D.,5,6.0,7.0,6.0,,,391
Nishikori K.,5,7.0,6.0,6.0,,,437
Carreno Busta P.,5,6.0,6.0,2.0,6.0,,83
Raonic M.,5,6.0,6.0,7.0,,,488
Djokovic N.,5,6.0,6.0,4.0,6.0,,147
Coric B.,5,2.0,6.0,6.0,6.0,,106
Zverev A.,5,6.0,6.0,6.0,,,660
Pouille L.,5,7.0,6.0,6.0,4.0,6.0,474
Tiafoe F.,5,7.0,7.0,6.0,7.0,,588
Nadal R.,5,6.0,6.0,7.0,,,427
Bautista Agut R.,5,6.0,6.0,6.0,4.0,6.0,38
Tsitsipas S.,5,6.0,7.0,7.0,7.0,,597
Raonic M.,5,6.0,6.0,7.0,,,488
Pouille L.,5,6.0,6.0,7.0,7.0,,474
Nishikori K.,5,6.0,4.0,7.0,6.0,7.0,437
Djokovic N.,5,6.0,6.0,6.0,6.0,,147
Tsitsipas S.,5,7.0,4.0,6.0,7.0,,597
Nadal R.,5,6.0,6.0,6.0,,,427
Pouille L.,5,7.0,6.0,6.0,6.0,,474
Djokovic N.,5,6.0,4.0,,,,147
Nadal R.,5,6.0,6.0,6.0,,,427
Djokovic N.,5,6.0,6.0,6.0,,,147
Djokovic N.,5,6.0,6.0,6.0,,,147
Sonego L.,3,6.0,6.0,,,,561
Bedene A.,3,6.0,6.0,,,,43
Cachin P.,3,6.0,6.0,,,,77
Pella G.,3,6.0,6.0,,,,463
Jaziri M.,3,6.0,4.0,7.0,,,272
Giannessi A.,3,6.0,7.0,7.0,,,205
Carballes Baena R.,3,6.0,6.0,,,,82
Londero J.I.,3,6.0,7.0,,,,357
Cuevas P.,3,6.0,6.0,,,,111
Munar J.,3,6.0,6.0,,,,422
Ramos-Vinolas A.,3,7.0,4.0,6.0,,,487
Delbonis F.,3,6.0,6.0,6.0,,,133
Londero J.I.,3,7.0,6.0,,,,357
Cachin P.,3,6.0,1.0,,,,77
Munar J.,3,6.0,3.0,6.0,,,422
Delbonis F.,3,6.0,6.0,6.0,,,133
Cuevas P.,3,7.0,6.0,,,,111
Bedene A.,3,6.0,6.0,,,,43
Schwartzman D.,3,6.0,6.0,6.0,,,536
Pella G.,3,6.0,7.0,,,,463
Delbonis F.,3,7.0,6.0,,,,133
Londero J.I.,3,6.0,7.0,,,,357
Pella G.,3,7.0,6.0,,,,463
Cuevas P.,3,7.0,6.0,,,,111
Londero J.I.,3,6.0,6.0,,,,357
Pella G.,3,6.0,3.0,6.0,,,463
Londero J.I.,3,3.0,7.0,6.0,,,357
Granollers M.,3,7.0,6.0,7.0,,,224
Tsonga J.W.,3,3.0,7.0,6.0,,,598
Chardy J.,3,6.0,6.0,,,,93
Gulbis E.,3,6.0,7.0,,,,234
Hoang A.,3,6.0,6.0,,,,255
Krajinovic F.,3,7.0,6.0,,,,318
Berdych T.,3,5.0,6.0,6.0,,,49
Paire B.,3,7.0,6.0,,,,455
Herbert P.H.,3,6.0,6.0,,,,251
Baghdatis M.,3,6.0,6.0,,,,25
Ivashka I.,3,4.0,6.0,6.0,,,268
Albot R.,3,6.0,6.0,,,,4
Chardy J.,3,6.0,7.0,,,,93
Berdych T.,3,6.0,6.0,,,,49
Tsonga J.W.,3,6.0,7.0,,,,598
Krajinovic F.,3,6.0,6.0,,,,318
Shapovalov D.,3,6.0,7.0,,,,543
Albot R.,3,7.0,4.0,6.0,,,4
Herbert P.H.,3,4.0,6.0,6.0,,,251
Baghdatis M.,3,7.0,6.0,6.0,,,25
Berdych T.,3,7.0,6.0,7.0,,,49
Herbert P.H.,3,7.0,7.0,,,,251
Albot R.,3,6.0,7.0,,,,4
Tsonga J.W.,3,6.0,7.0,6.0,,,598
Herbert P.H.,3,6.0,7.0,,,,251
Tsonga J.W.,3,6.0,6.0,,,,598
Tsonga J.W.,3,6.0,6.0,,,,598
Ebden M.,3,6.0,4.0,7.0,,,162
Copil M.,3,3.0,7.0,6.0,,,103
Brands D.,3,7.0,7.0,,,,69
Maden Y.,3,6.0,7.0,,,,367
Struff J.L.,3,6.0,6.0,,,,576
Berrettini M.,3,6.0,7.0,,,,53
Haase R.,3,6.0,6.0,,,,238
Monfils G.,3,6.0,6.0,,,,411
Klizan M.,3,6.0,3.0,6.0,,,302
Kukushkin M.,3,7.0,6.0,,,,328
Verdasco F.,3,6.0,6.0,,,,619
Fucsovics M.,3,6.0,7.0,,,,191
Bautista Agut R.,3,3.0,6.0,6.0,,,38
Berrettini M.,3,6.0,6.0,6.0,,,53
Klizan M.,3,7.0,6.0,,,,302
Fucsovics M.,3,7.0,3.0,6.0,,,191
Verdasco F.,3,6.0,4.0,6.0,,,619
Medvedev D.,3,5.0,6.0,6.0,,,391
Monfils G.,3,7.0,6.0,,,,411
Tsitsipas S.,3,7.0,6.0,,,,597
Fucsovics M.,3,,,,,,191
Berrettini M.,3,4.0,7.0,6.0,,,53
Medvedev D.,3,6.0,6.0,,,,391
Monfils G.,3,6.0,7.0,,,,411
Fucsovics M.,3,5.0,7.0,6.0,,,191
Medvedev D.,3,6.0,6.0,,,,391
Medvedev D.,3,6.0,6.0,,,,391
Sonego L.,3,6.0,6.0,6.0,,,561
Ramos-Vinolas A.,3,6.0,6.0,,,,487
Marterer M.,3,6.0,6.0,,,,377
Garin C.,3,3.0,7.0,6.0,,,199
Cuevas P.,3,6.0,6.0,,,,111
Carballes Baena R.,3,6.0,6.0,,,,82
Mayer L.,3,6.0,7.0,,,,387
Bedene A.,3,1.0,7.0,6.0,,,43
Pella G.,3,3.0,6.0,6.0,,,463
Munar J.,3,6.0,2.0,6.0,,,422
Sousa J.,3,6.0,6.0,,,,563
Ferrer D.,3,7.0,6.0,,,,182
Carballes Baena R.,3,7.0,6.0,,,,82
Pella G.,3,6.0,1.0,7.0,,,463
Cecchinato M.,3,7.0,6.0,,,,87
Munar J.,3,4.0,6.0,7.0,,,422
Cuevas P.,3,6.0,7.0,,,,111
Ramos-Vinolas A.,3,3.0,7.0,6.0,,,487
Thiem D.,3,6.0,6.0,,,,586
Schwartzman D.,3,6.0,2.0,6.0,,,536
Cecchinato M.,3,7.0,6.0,,,,87
Pella G.,3,6.0,7.0,6.0,,,463
Thiem D.,3,4.0,6.0,6.0,,,586
Schwartzman D.,3,6.0,7.0,,,,536
Cecchinato M.,3,6.0,6.0,,,,87
Schwartzman D.,3,2.0,6.0,7.0,,,536
Cecchinato M.,3,6.0,6.0,,,,87
Tomic B.,3,6.0,6.0,,,,590
Lorenzi P.,3,7.0,6.0,6.0,,,361
Thompson J.,3,6.0,7.0,6.0,,,587
Eubanks C.,3,6.0,7.0,,,,174
Opelka R.,3,2.0,7.0,6.0,,,450
Jung J.,3,6.0,3.0,6.0,,,282
Garcia-Lopez G.,3,7.0,6.0,,,,198
Harrison R.,3,6.0,6.0,,,,247
Schnur B.,3,6.0,6.0,,,,531
Querrey S.,3,7.0,6.0,,,,479
Istomin D.,3,4.0,6.0,6.0,,,266
Albot R.,3,6.0,7.0,7.0,,,4
Lorenzi P.,3,4.0,6.0,6.0,,,361
Thompson J.,3,4.0,6.0,6.0,,,587
Isner J.,3,7.0,6.0,,,,265
Schnur B.,3,6.0,4.0,7.0,,,531
Garcia-Lopez G.,3,7.0,1.0,6.0,,,198
Opelka R.,3,6.0,7.0,1.0,,,450
Querrey S.,3,6.0,6.0,,,,479
Jung J.,3,6.0,7.0,,,,282
Schnur B.,3,6.0,7.0,7.0,,,531
Querrey S.,3,6.0,3.0,6.0,,,479
Opelka R.,3,6.0,6.0,,,,450
Isner J.,3,6.0,6.0,,,,265
Schnur B.,3,7.0,4.0,6.0,,,531
Opelka R.,3,6.0,7.0,7.0,,,450
Opelka R.,3,6.0,6.0,7.0,,,450
Seppi A.,3,7.0,3.0,6.0,,,538
Kukushkin M.,3,6.0,7.0,,,,328
Wawrinka S.,3,7.0,6.0,,,,632
Basilashvili N.,3,4.0,7.0,6.0,,,36
Gulbis E.,3,6.0,6.0,,,,234
Raonic M.,3,7.0,7.0,,,,488
Verdasco F.,3,7.0,6.0,,,,619
Shapovalov D.,3,7.0,6.0,,,,543
Berdych T.,3,7.0,6.0,,,,49
Monfils G.,3,7.0,7.0,,,,411
Nishikori K.,3,3.0,6.0,6.0,,,437
Griekspoor T.,3,3.0,6.0,6.0,,,229
Fucsovics M.,3,7.0,6.0,,,,191
Medvedev D.,3,7.0,6.0,,,,391
Tsonga J.W.,3,6.0,6.0,,,,598
Dzumhur D.,3,6.0,1.0,7.0,,,160
Monfils G.,3,4.0,6.0,6.0,,,411
Wawrinka S.,3,6.0,7.0,,,,632
Shapovalov D.,3,6.0,6.0,,,,543
Dzumhur D.,3,6.0,7.0,,,,160
Medvedev D.,3,6.0,7.0,,,,391
Tsonga J.W.,3,7.0,6.0,,,,598
Nishikori K.,3,6.0,6.0,,,,437
Fucsovics M.,3,7.0,6.0,,,,191
Monfils G.,3,6.0,6.0,,,,411
Medvedev D.,3,6.0,6.0,,,,391
Wawrinka S.,3,6.0,7.0,,,,632
Nishikori K.,3,6.0,6.0,,,,437
Monfils G.,3,4.0,6.0,6.0,,,411
Wawrinka S.,3,6.0,4.0,6.0,,,632
Monfils G.,3,6.0,1.0,6.0,,,411
Lacko L.,3,6.0,6.0,,,,338
Istomin D.,3,7.0,6.0,,,,266
Harris L.,3,7.0,6.0,,,,245
Kyrgios N.,3,6.0,6.0,7.0,,,336
Albot R.,3,7.0,6.0,,,,4
Garcia-Lopez G.,3,2.0,6.0,6.0,,,198
Mcdonald M.,3,3.0,6.0,6.0,,,389
Johnson S.,3,7.0,6.0,,,,277
Thompson J.,3,7.0,6.0,,,,587
Lorenzi P.,3,7.0,6.0,,,,361
Seppi A.,3,6.0,7.0,,,,538
Isner J.,3,6.0,7.0,,,,265
Mannarino A.,3,6.0,6.0,,,,373
Opelka R.,3,6.0,6.0,,,,450
Evans D.,3,3.0,7.0,7.0,,,176
Del Potro J.M.,3,6.0,7.0,,,,132
Seppi A.,3,6.0,4.0,6.0,,,538
Mannarino A.,3,6.0,7.0,,,,373
Evans D.,3,6.0,6.0,,,,176
Isner J.,3,6.0,6.0,,,,265
Johnson S.,3,7.0,7.0,,,,277
Albot R.,3,6.0,3.0,6.0,,,4
Mcdonald M.,3,7.0,6.0,,,,389
Del Potro J.M.,3,6.0,6.0,,,,132
Evans D.,3,6.0,6.0,,,,176
Isner J.,3,7.0,6.0,,,,265
Albot R.,3,1.0,6.0,7.0,,,4
Mcdonald M.,3,6.0,3.0,7.0,,,389
Evans D.,3,3.0,6.0,6.0,,,176
Albot R.,3,3.0,6.0,6.0,,,4
Albot R.,3,3.0,6.0,7.0,,,4
Hurkacz H.,3,6.0,6.0,,,,261
Simon G.,3,5.0,6.0,6.0,,,548
Kukushkin M.,3,6.0,6.0,,,,328
Gojowczyk P.,3,6.0,6.0,,,,214
Stakhovsky S.,3,7.0,1.0,6.0,,,568
Paire B.,3,6.0,7.0,,,,455
Verdasco F.,3,4.0,6.0,7.0,,,619
Rublev A.,3,2.0,6.0,6.0,,,512
Berrettini M.,3,7.0,7.0,,,,53
Bachinger M.,3,4.0,6.0,6.0,,,23
Barrere G.,3,7.0,6.0,,,,32
Humbert U.,3,6.0,7.0,,,,260
Kukushkin M.,3,6.0,7.0,,,,328
Tsitsipas S.,3,6.0,6.0,,,,597
Simon G.,3,4.0,6.0,6.0,,,548
Rublev A.,3,6.0,7.0,,,,512
Bachinger M.,3,6.0,6.0,,,,23
Humbert U.,3,6.0,6.0,,,,260
Goffin D.,3,6.0,6.0,,,,213
Stakhovsky S.,3,6.0,6.0,,,,568
Kukushkin M.,3,6.0,6.0,,,,328
Humbert U.,3,6.0,6.0,,,,260
Tsitsipas S.,3,6.0,6.0,,,,597
Goffin D.,3,6.0,6.0,,,,213
Kukushkin M.,3,6.0,6.0,,,,328
Tsitsipas S.,3,7.0,6.0,,,,597
Tsitsipas S.,3,7.0,7.0,,,,597
Norrie C.,3,6.0,6.0,,,,440
Munar J.,3,7.0,6.0,,,,422
Sousa J.,3,6.0,3.0,6.0,,,563
Ruud C.,3,6.0,6.0,,,,516
Dellien H.,3,6.0,6.0,,,,138
Delbonis F.,3,6.0,7.0,,,,133
Ramos-Vinolas A.,3,7.0,6.0,,,,487
Carballes Baena R.,3,6.0,6.0,7.0,,,82
Bedene A.,3,7.0,7.0,,,,43
Garin C.,3,7.0,6.0,,,,199
Monteiro T.,3,6.0,6.0,,,,414
Auger-Aliassime F.,3,6.0,6.0,,,,21
Londero J.I.,3,2.0,7.0,6.0,,,357
Djere L.,3,6.0,6.0,,,,146
Cuevas P.,3,6.0,4.0,,,,111
Daniel T.,3,3.0,6.0,6.0,,,115
Munar J.,3,7.0,5.0,7.0,,,422
Dellien H.,3,7.0,6.0,,,,138
Bedene A.,3,6.0,6.0,,,,43
Auger-Aliassime F.,3,7.0,6.0,,,,21
Ramos-Vinolas A.,3,3.0,7.0,6.0,,,487
Djere L.,3,6.0,6.0,,,,146
Ruud C.,3,6.0,3.0,6.0,,,516
Cuevas P.,3,6.0,6.0,,,,111
Bedene A.,3,4.0,6.0,6.0,,,43
Djere L.,3,6.0,7.0,,,,146
Auger-Aliassime F.,3,6.0,6.0,,,,21
Cuevas P.,3,6.0,3.0,6.0,,,111
Djere L.,3,,,,,,146
Auger-Aliassime F.,3,6.0,3.0,6.0,,,21
Djere L.,3,6.0,7.0,,,,146
Johnson S.,3,7.0,7.0,,,,277
Gojowczyk P.,3,5.0,6.0,6.0,,,214
Millman J.,3,6.0,6.0,,,,401
Wawrinka S.,3,6.0,7.0,,,,632
Tiafoe F.,3,3.0,6.0,6.0,,,588
Isner J.,3,6.0,4.0,6.0,,,265
Schwartzman D.,3,6.0,4.0,6.0,,,536
Norrie C.,3,6.0,2.0,6.0,,,440
Kyrgios N.,3,6.0,7.0,,,,336
Zverev A.,3,6.0,6.0,,,,660
Querrey S.,3,6.0,6.0,,,,479
Nadal R.,3,6.0,6.0,,,,427
De Minaur A.,3,7.0,7.0,,,,125
Mcdonald M.,3,6.0,6.0,,,,389
Lopez F.,3,6.0,6.0,7.0,,,358
Ferrer D.,3,7.0,7.0,,,,182
Millman J.,3,6.0,6.0,,,,401
Isner J.,3,6.0,6.0,,,,265
Mcdonald M.,3,6.0,7.0,6.0,,,389
Wawrinka S.,3,7.0,6.0,,,,632
Norrie C.,3,7.0,4.0,6.0,,,440
Kyrgios N.,3,3.0,7.0,7.0,,,336
De Minaur A.,3,,,,,,125
Zverev A.,3,7.0,6.0,,,,660
Norrie C.,3,6.0,6.0,,,,440
Zverev A.,3,6.0,6.0,,,,660
Kyrgios N.,3,7.0,6.0,6.0,,,336
Isner J.,3,7.0,6.0,7.0,,,265
Zverev A.,3,7.0,6.0,,,,660
Kyrgios N.,3,7.0,5.0,7.0,,,336
Kyrgios N.,3,6.0,6.0,,,,336
Fucsovics M.,3,6.0,7.0,,,,191
Verdasco F.,3,3.0,6.0,6.0,,,619
Struff J.L.,3,6.0,5.0,6.0,,,576
Basilashvili N.,3,6.0,6.0,,,,36
Federer R.,3,6.0,3.0,6.0,,,180
Bautista Agut R.,3,6.0,6.0,,,,38
Berankis R.,3,6.0,6.0,,,,48
Kudla D.,3,2.0,7.0,7.0,,,325
Gerasimov E.,3,7.0,7.0,,,,203
Nishikori K.,3,6.0,6.0,,,,437
Hurkacz H.,3,6.0,7.0,,,,261
Baghdatis M.,3,4.0,6.0,6.0,,,25
Berdych T.,3,6.0,4.0,7.0,,,49
Monfils G.,3,6.0,4.0,6.0,,,411
Coric B.,3,7.0,3.0,7.0,,,106
Tsitsipas S.,3,6.0,3.0,6.0,,,597
Hurkacz H.,3,7.0,5.0,6.0,,,261
Berankis R.,3,6.0,6.0,,,,48
Basilashvili N.,3,6.0,6.0,6.0,,,36
Fucsovics M.,3,6.0,6.0,,,,191
Monfils G.,3,6.0,6.0,,,,411
Tsitsipas S.,3,6.0,6.0,,,,597
Federer R.,3,6.0,3.0,6.0,,,180
Coric B.,3,1.0,6.0,7.0,,,106
Monfils G.,3,6.0,6.0,6.0,,,411
Tsitsipas S.,3,7.0,6.0,6.0,,,597
Federer R.,3,7.0,6.0,,,,180
Coric B.,3,4.0,6.0,7.0,,,106
Tsitsipas S.,3,4.0,7.0,7.0,,,597
Federer R.,3,6.0,6.0,,,,180
Federer R.,3,6.0,6.0,,,,180
Garin C.,3,7.0,6.0,,,,199
Carballes Baena R.,3,3.0,6.0,6.0,,,82
Trungelliti M.,3,6.0,3.0,7.0,,,596
Sonego L.,3,6.0,6.0,,,,561
Munar J.,3,6.0,6.0,,,,422
Londero J.I.,3,7.0,6.0,,,,357
Dellien H.,3,6.0,6.0,,,,138
Ramos-Vinolas A.,3,6.0,6.0,,,,487
Seyboth Wild T.,3,6.0,4.0,6.0,,,542
Ruud C.,3,6.0,6.0,,,,516
Djere L.,3,7.0,4.0,6.0,,,146
Auger-Aliassime F.,3,5.0,6.0,6.0,,,21
Garin C.,3,7.0,6.0,7.0,,,199
Mayer L.,3,6.0,3.0,6.0,,,387
Pella G.,3,6.0,6.0,,,,463
Trungelliti M.,3,6.0,7.0,,,,596
Dellien H.,3,6.0,7.0,,,,138
Ruud C.,3,6.0,6.0,,,,516
Auger-Aliassime F.,3,7.0,7.0,,,,21
Djere L.,3,6.0,3.0,7.0,,,146
Garin C.,3,4.0,6.0,6.0,,,199
Ruud C.,3,6.0,6.0,,,,516
Pella G.,3,6.0,6.0,,,,463
Djere L.,3,6.0,3.0,6.0,,,146
Garin C.,3,6.0,6.0,,,,199
Pella G.,3,7.0,7.0,,,,463
Pella G.,3,7.0,6.0,,,,463
Auger-Aliassime F.,3,6.0,6.0,,,,21
Andreozzi G.,3,7.0,6.0,,,,15
Klizan M.,3,6.0,6.0,,,,302
Ramos-Vinolas A.,3,6.0,6.0,,,,487
Karlovic I.,3,7.0,7.0,,,,287
Kohlschreiber P.,3,6.0,6.0,,,,306
Thompson J.,3,6.0,6.0,7.0,,,587
Querrey S.,3,7.0,2.0,6.0,,,479
Giron M.,3,7.0,7.0,,,,211
Nishioka Y.,3,3.0,6.0,6.0,,,438
Fratangelo B.,3,4.0,6.0,6.0,,,189
Marterer M.,3,6.0,6.0,,,,377
Gunneswaran P.,3,7.0,6.0,,,,235
Jaziri M.,3,6.0,6.0,,,,272
Struff J.L.,3,6.0,6.0,,,,576
Mayer L.,3,7.0,7.0,,,,387
Lopez F.,3,7.0,7.0,,,,358
Albot R.,3,6.0,6.0,,,,4
Gojowczyk P.,3,7.0,6.0,,,,214
Hurkacz H.,3,6.0,6.0,,,,261
Bolt A.,3,6.0,5.0,6.0,,,62
Lajovic D.,3,7.0,6.0,,,,339
Popyrin A.,3,7.0,6.0,,,,471
Wawrinka S.,3,6.0,6.0,6.0,,,632
Haase R.,3,7.0,6.0,,,,238
Johnson S.,3,6.0,6.0,,,,277
Krajinovic F.,3,6.0,6.0,,,,318
Donaldson J.,3,6.0,7.0,,,,152
Mannarino A.,3,6.0,6.0,6.0,,,373
Mcdonald M.,3,6.0,3.0,6.0,,,389
Carballes Baena R.,3,6.0,7.0,,,,82
Jarry N.,3,6.0,4.0,7.0,,,270
Giron M.,3,1.0,6.0,6.0,,,211
Djere L.,3,6.0,6.0,,,,146
Kecmanovic M.,3,6.0,6.0,,,,289
Auger-Aliassime F.,3,6.0,6.0,,,,21
Simon G.,3,6.0,6.0,6.0,,,548
Monfils G.,3,6.0,3.0,6.0,,,411
Karlovic I.,3,6.0,7.0,,,,287
Raonic M.,3,7.0,6.0,,,,488
Ramos-Vinolas A.,3,6.0,6.0,,,,487
Struff J.L.,3,3.0,6.0,6.0,,,576
Kohlschreiber P.,3,6.0,6.0,,,,306
Gunneswaran P.,3,6.0,6.0,7.0,,,235
Zverev A.,3,6.0,2.0,,,,660
Djokovic N.,3,7.0,6.0,,,,147
Nishioka Y.,3,7.0,6.0,,,,438
Thiem D.,3,6.0,7.0,,,,586
Edmund K.,3,6.0,6.0,,,,163
Krajinovic F.,3,6.0,6.0,,,,318
Nishikori K.,3,6.0,4.0,7.0,,,437
Rublev A.,3,6.0,3.0,6.0,,,512
Medvedev D.,3,7.0,6.0,,,,391
